epoch,acc,loss,val_acc,val_loss
0,0.5924950972897556,14.81817811525311,0.7672483529056515,11.023733181996388
1,0.6668535183903366,10.791815263371802,0.7010663967948776,8.719401419699729
2,0.6681833349940769,8.858147627533878,0.7856192110895036,7.9579131753595025
3,0.6922567554540857,8.144079164517763,0.7495532535217904,7.540866937723246
4,0.6616125332073225,7.791027030817243,0.7234506596316088,7.361178097424206
5,0.6402489945460984,7.488513885676764,0.7180877526601156,7.1833625655990465
6,0.6609206231541458,7.612265057388357,0.7559798870000753,7.137250015327522
7,0.6561091970839229,7.653998725789048,0.7167589030824266,7.070921459713498
0,0.5516251476242132,15.826655770179233,0.7969268989992572,9.967910465893445
1,0.6955681997706428,10.30775117354715,0.7566525603199864,9.015384802947173
2,0.6830612559841104,9.068114894710176,0.7487660356470056,8.35814333391619
3,0.6726851539933864,8.54613650078867,0.7387861953125344,7.922031857945898
4,0.6774166943201052,7.8691092004962995,0.7593474178700834,7.545462359179248
5,0.6698431936028886,7.956360636236461,0.7323864064775072,7.356465726285367
6,0.6642806833865595,8.134755311188874,0.7354248423834104,7.194482983769597
7,0.6350213543781787,7.371072031573792,0.6936441600859702,7.1513566627158776
8,0.6191196723343575,7.582424212808478,0.6961502346906576,7.008103198833294
9,0.6197433644390314,7.696426744814272,0.6986170754776345,6.881056734033533
10,0.6114355014067262,7.24727866638741,0.7088466082607303,6.858608374724517
11,0.6247491210634153,7.281951685097223,0.7366381658090128,6.743075181772043
12,0.6170629710932962,7.375844509773005,0.6958169845847396,6.882362013464576
13,0.6277558283718754,7.458053103320675,0.7207733430303969,6.617400809451267
14,0.6351900187712609,7.238399849478196,0.6992794500814902,6.569185433087048
15,0.6138007365540482,7.0463529225268395,0.6859475164800077,6.4450444788546175
16,0.626678855043568,6.792829857569307,0.6944014644837594,6.332785301380329
17,0.6103708402523548,6.543528662787543,0.6390814706011936,6.27656769537711
18,0.6027228668624279,6.330088599834567,0.691300109163061,6.225135511106199
19,0.6038357865864827,6.110119419010807,0.6819392818588395,5.960193552412428
20,0.5917852048260973,5.897267328108578,0.692778544383006,6.016618114333969
21,0.6115314582167151,6.0679123793562795,0.7091561212196006,5.715127712971455
22,0.5702544533868761,5.815328583478408,0.664276169764029,5.565153994001784
23,0.5547082454031069,5.614117572510165,0.6644082230490607,5.544876889065579
